thumb,index,middle,ring,pinkie,accx1,accy1,accz1,gx1,gy1,gz1,accx2,accy2,accz2,gx2,gy2,gz2,anillo,label
377.0,240.0,282.0,286.0,255.0,16620.0,320.0,4020.0,-286.0,351.0,45.0,-13252.0,1776.0,7812.0,-292.0,298.0,305.0,1.0,A
377.0,240.0,282.0,286.0,255.0,16600.0,-100.0,4480.0,-56.0,61.0,-5.0,-13392.0,2136.0,7964.0,-328.0,245.0,-18.0,1.0,A
377.0,240.0,282.0,287.0,256.0,16496.0,36.0,4072.0,-359.0,28.0,-223.0,-13168.0,1784.0,7948.0,39.0,165.0,-99.0,1.0,A
377.0,240.0,282.0,286.0,256.0,16308.0,376.0,4180.0,-237.0,-6.0,-8.0,-13276.0,2176.0,7804.0,-128.0,76.0,40.0,1.0,A
377.0,241.0,282.0,287.0,256.0,16372.0,-108.0,4096.0,-280.0,110.0,84.0,-13520.0,2184.0,7908.0,-226.0,102.0,111.0,1.0,A
376.0,240.0,282.0,286.0,256.0,16512.0,-28.0,4080.0,-270.0,102.0,84.0,-13224.0,2072.0,7752.0,-90.0,63.0,45.0,1.0,A
377.0,240.0,282.0,287.0,256.0,16704.0,-364.0,4216.0,-307.0,-136.0,50.0,-13220.0,2136.0,7872.0,-149.0,118.0,-158.0,1.0,A
377.0,241.0,283.0,286.0,256.0,16444.0,44.0,4292.0,-215.0,17.0,-140.0,-13392.0,2084.0,7712.0,-65.0,-33.0,-43.0,1.0,A
377.0,241.0,283.0,287.0,257.0,16500.0,-52.0,4080.0,-439.0,-107.0,108.0,-13088.0,1844.0,7632.0,-42.0,69.0,-79.0,1.0,A
377.0,240.0,282.0,287.0,256.0,16468.0,248.0,4348.0,-165.0,-95.0,-118.0,-13204.0,2040.0,7620.0,-222.0,-36.0,9.0,1.0,A
377.0,240.0,283.0,287.0,256.0,16616.0,-60.0,4128.0,-470.0,-39.0,-52.0,-13324.0,1972.0,7692.0,27.0,-91.0,-112.0,1.0,A
377.0,240.0,283.0,287.0,256.0,16224.0,-116.0,4228.0,-561.0,-35.0,-155.0,-13408.0,2212.0,7680.0,-246.0,115.0,-152.0,1.0,A
377.0,241.0,282.0,287.0,256.0,16468.0,-204.0,4532.0,-416.0,-240.0,96.0,-13452.0,2000.0,7740.0,-94.0,-173.0,-545.0,1.0,A
377.0,241.0,283.0,287.0,256.0,16408.0,684.0,3840.0,-929.0,-275.0,-598.0,-13072.0,2356.0,8096.0,-254.0,38.0,-101.0,1.0,A
377.0,240.0,282.0,287.0,256.0,16676.0,44.0,3404.0,-139.0,-247.0,-70.0,-13056.0,2036.0,8104.0,72.0,218.0,-85.0,1.0,A
377.0,241.0,283.0,287.0,256.0,16612.0,72.0,3952.0,-286.0,-53.0,-38.0,-13104.0,1724.0,7904.0,-109.0,337.0,18.0,1.0,A
376.0,241.0,283.0,287.0,257.0,16476.0,84.0,3912.0,-341.0,221.0,175.0,-13356.0,2060.0,7916.0,-58.0,67.0,-155.0,1.0,A
